sedafips,fips,stateabb,NAME,subject,subgroup,gys_mn_2016_ol,gys_mn_2016_ol_se_adj,gys_mn_2016_eb,gys_mn_2016_eb_se_adj,gys_mn_2017_ol,gys_mn_2017_ol_se_adj,gys_mn_2017_eb_se_adj,gys_mn_2017_eb,gys_mn_2018_ol,gys_mn_2018_ol_se_adj,gys_mn_2018_eb,gys_mn_2018_eb_se_adj,gys_mn_2019_ol,gys_mn_2019_ol_se_adj,gys_mn_2019_eb_se_adj,gys_mn_2019_eb,gys_mn_2022_ol,gys_mn_2022_ol_se_adj,gys_mn_2022_eb,gys_mn_2022_eb_se_adj,gys_mn_2023_ol,gys_mn_2023_ol_se_adj,gys_mn_2023_eb,gys_mn_2023_eb_se_adj,gys_mn_1922_ol,gys_mn_1922_ol_se_adj,gys_mn_1922_eb,gys_mn_1922_eb_se_adj,gys_mn_1923_ol,gys_mn_1923_ol_se_adj,gys_mn_1923_eb,gys_mn_1923_eb_se_adj,gys_mn_2223_ol,gys_mn_2223_ol_se_adj,gys_mn_2223_eb,gys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_estasmt2022,flag_estasmt2023
51,51,VA,Virginia,mth,all,0.739025302,0.06168866492,0.7299505204,0.0502046339,0.8158547006,0.08392016082,0.06559686331,0.7498815986,0.7280496737,0.06168399462,0.6885486096,0.04784792267,0.6402446468,0.09042713849,0.06967600978,0.6272156207,-0.2841731739,0.109389026,-0.2114554739,0.09815770207,-0.1702665761,0.1102363702,-0.09660780001,0.09908649133,-0.9244178207,0.14192613,-0.8386710946,0.1203730901,-0.8105112229,0.1425802395,-0.7238234207,0.1211316602,0.1139065978,0.01364178543,0.1148476739,0.01354347824,97655.5,97441,,97330.5,90740,85019.25,195311,389764,,389322,362960,340077,2,4,,4,4,4,1,0
51,51,VA,Virginia,rla,all,0.7117634493,0.07525357304,0.6889285898,0.05662979123,0.6599986357,0.1002315643,0.06881783659,0.5820587071,0.451763916,0.06520486758,0.4071830773,0.04705295539,0.2435291963,0.08342860748,0.06418744279,0.2323074475,-0.4372553446,0.1200068775,-0.3638431301,0.09877028918,-0.5261906516,0.1203633335,-0.4525526087,0.09932454843,-0.680784541,0.1461573919,-0.5961505776,0.1177947275,-0.769719848,0.146450212,-0.6848600562,0.1182598568,-0.088935307,0.00925642412,-0.08870947862,0.009242566947,95109.33333,95899.5,96612.5,96377,92520.33333,90410.16667,570656,575397,579675,578262,555122,542461,6,6,6,6,6,6,1,0
53,53,WA,Washington,mth,all,0.4798781232,0.0666132508,0.4678880527,0.0528519504,0.3987802645,0.0940649502,0.07028238303,0.3741594594,0.2615853286,0.06458761923,0.2534863275,0.04933851191,0.1243903928,0.08853263451,0.06926428852,0.1328131955,-0.4519170091,0.1076638267,-0.4428939806,0.09691076996,-0.3628597984,0.1079950343,-0.3537796944,0.09727567198,-0.5763074019,0.1393898381,-0.5757071761,0.1191185922,-0.4872501911,0.1396458191,-0.4865928898,0.1194156523,0.08905721072,0.008451499468,0.08911428621,0.008427990833,,,82421.66667,83319,76621.33333,76917,,,494530,499914,459728,461502,,,6,6,6,6,1,1
53,53,WA,Washington,rla,all,0.5652935252,0.06833071348,0.5451923328,0.05252527919,0.551764275,0.09514330762,0.06606650601,0.482059371,0.3482351864,0.06481450747,0.3354854032,0.04663867663,0.1447060978,0.08804222016,0.06584741007,0.1889114354,-0.142132304,0.1212343253,-0.1758277202,0.09965465701,-0.1688063385,0.1215854933,-0.2021600804,0.100202133,-0.2868384018,0.1498305515,-0.3647391556,0.1194442635,-0.3135124362,0.1501148384,-0.3910715158,0.1199014132,-0.02667403447,0.009234204991,-0.02633236022,0.009220470463,,,82511.83333,83380,76748,77019.33333,,,495071,500280,460488,462116,,,6,6,6,6,1,1
54,54,WV,West Virginia,mth,all,-0.5554868186,0.04494138185,-0.5748547685,0.03861575916,-0.5048770439,0.06699563113,0.05456657489,-0.5688321857,-0.648170006,0.04663745379,-0.6831777149,0.03878130957,-0.791462968,0.06489833429,0.05512212616,-0.7975232441,-1.564836664,0.06982633431,-1.539760475,0.0664637713,-1.325380511,0.07170320758,-1.30230829,0.06837057813,-0.7733736963,0.09532843624,-0.7422372311,0.08634744749,-0.5339175433,0.09671165271,-0.5047850462,0.08782360017,0.239456153,0.01629825187,0.2374521849,0.01612605087,19018.16667,18944.33333,19594,19289,18291.83333,18422,114109,113666,117564,115734,109751,110532,6,6,6,6,6,6,1,1
54,54,WV,West Virginia,rla,all,-0.2252944946,0.05641250133,-0.2392907106,0.04506604328,-0.2117648854,0.07862389309,0.05709174525,-0.2864110128,-0.3758828556,0.05406180078,-0.4281294082,0.04053591944,-0.5400008258,0.07422261549,0.05756019182,-0.5698478036,-1.249544535,0.09010323075,-1.16474422,0.08122286604,,,,,-0.7095437088,0.1167372641,-0.5948964162,0.09955063863,,,,,,,,,18377.16667,18945,19594.66667,,,,110263,113670,117568,,,,6,6,6,,,,1,
55,55,WI,Wisconsin,mth,all,0.4225615525,0.05408959276,0.4190676859,0.04546615041,0.3060987519,0.06839452287,0.05672970959,0.3513141872,0.3567082475,0.05281786686,0.3782792429,0.04273043407,0.4073177431,0.08050526369,0.06391635184,0.4052442986,0.0720493868,0.07879207408,0.03569247036,0.07417212393,0.296559743,0.07936660344,0.2597242779,0.07477468946,-0.3352683563,0.1126467417,-0.3695518282,0.09791222601,-0.1107580001,0.1130493486,-0.1455200207,0.09836947807,0.2245103562,0.009532408066,0.2240318075,0.009498377775,60761.83333,61230.5,61371.5,61021.33333,56347.83333,56042.5,364571,367383,368229,366128,338087,336255,6,6,6,6,6,6,0,0
55,55,WI,Wisconsin,rla,all,0.418234612,0.05120560366,0.4180815056,0.04227441783,0.3105872659,0.06633677427,0.05169717649,0.3273117027,0.2688231524,0.05011353886,0.274730797,0.03869783992,0.2270590389,0.07513254614,0.057597684,0.2221498913,-0.04253706569,0.1154552061,-0.0621864629,0.09546403382,0.2339132005,0.1158984289,0.2136966937,0.09614585041,-0.2695961046,0.1377490621,-0.2843363542,0.1114938337,0.006854161546,0.1381207635,-0.008453197603,0.112078177,0.2764502662,0.01012626283,0.2758831566,0.01010801129,60690.5,61123.16667,61275.5,60935,56219,55871.16667,364143,366739,367653,365610,337314,335227,6,6,6,6,6,6,0,0
56,56,WY,Wyoming,mth,all,0.7341471416,0.03174675028,0.7252429182,0.02910101297,0.8036599508,0.04589061798,0.04088078684,0.7888951433,0.6920743803,0.03593838564,0.7131431933,0.03170580578,0.5804888097,0.05532017201,0.04847467122,0.6373912433,0.2193618996,0.06492389383,0.207280685,0.06213729198,,,,,-0.3611269102,0.08529615127,-0.4301105583,0.07880886247,,,,,,,,,7248.666667,7289.5,7300.833333,7385.833333,7103.333333,,43492,43737,43805,44315,42620,,6,6,6,6,6,,1,
56,56,WY,Wyoming,rla,all,0.7770586799,0.03751516523,0.7702884191,0.03143968395,0.7388237448,0.05880870538,0.04524877387,0.7339391171,0.6417648315,0.04200733181,0.6571951906,0.03325377234,0.5447059183,0.05999999896,0.04874219899,0.580451264,0.2838304067,0.0776506929,0.2454669071,0.07023924069,0.2166841055,0.08205087964,0.1833813449,0.07568496265,-0.2608755115,0.0981306781,-0.3349843569,0.08549475361,-0.3280218128,0.1016481516,-0.3970699191,0.09002230576,-0.06714630124,0.02650880497,-0.06208556223,0.02617565482,7242.333333,7281.666667,7298.333333,7375.833333,7103.666667,7131.166667,43454,43690,43790,44255,42622,42787,6,6,6,6,6,6,1,1
