sedafips,fips,stateabb,NAME,subject,subgroup,gys_mn_2016_ol,gys_mn_2016_ol_se_adj,gys_mn_2016_eb,gys_mn_2016_eb_se_adj,gys_mn_2017_ol,gys_mn_2017_ol_se_adj,gys_mn_2017_eb_se_adj,gys_mn_2017_eb,gys_mn_2018_ol,gys_mn_2018_ol_se_adj,gys_mn_2018_eb,gys_mn_2018_eb_se_adj,gys_mn_2019_ol,gys_mn_2019_ol_se_adj,gys_mn_2019_eb_se_adj,gys_mn_2019_eb,gys_mn_2022_ol,gys_mn_2022_ol_se_adj,gys_mn_2022_eb,gys_mn_2022_eb_se_adj,gys_mn_2023_ol,gys_mn_2023_ol_se_adj,gys_mn_2023_eb,gys_mn_2023_eb_se_adj,gys_mn_1922_ol,gys_mn_1922_ol_se_adj,gys_mn_1922_eb,gys_mn_1922_eb_se_adj,gys_mn_1923_ol,gys_mn_1923_ol_se_adj,gys_mn_1923_eb,gys_mn_1923_eb_se_adj,gys_mn_2223_ol,gys_mn_2223_ol_se_adj,gys_mn_2223_eb,gys_mn_2223_eb_se_adj,avgasmt_2016,avgasmt_2017,avgasmt_2018,avgasmt_2019,avgasmt_2022,avgasmt_2023,tot_2016,tot_2017,tot_2018,tot_2019,tot_2022,tot_2023,cell_2016,cell_2017,cell_2018,cell_2019,cell_2022,cell_2023,flag_estasmt2022,flag_estasmt2023
8,8,CO,Colorado,mth,all,0.2768298824,0.05759574975,0.2774604943,0.04708388867,0.2609766518,0.08320336063,0.06386687092,0.2664249553,0.265854254,0.05554623751,0.2669621019,0.04412490799,0.2707318562,0.07361208315,0.06090199356,0.2674992484,-0.4016479615,0.09487418669,-0.3897165203,0.08706269737,,,,,-0.6723798177,0.1200826802,-0.6572157687,0.1062495463,,,,,,,,,64864.5,65739,65934,64834.66667,56678,,129729,131478,197802,194504,226712,,2,2,3,3,4,,0,
8,8,CO,Colorado,rla,all,0.5694115134,0.07185016769,0.5700439669,0.05418561935,0.6270590389,0.098907599,0.06657371521,0.5898218449,0.5758821375,0.06226325423,0.5707684546,0.04477877134,0.5247052361,0.07565803439,0.05990403905,0.5517150643,0.250056907,0.1017175532,0.2233504572,0.08955380622,,,,,-0.2746483291,0.1267698655,-0.3283646072,0.1077421835,,,,,,,,,64771.5,65652.5,65812.33333,64745.33333,56033.75,,129543,131305,197437,194236,224135,,2,2,3,3,4,,0,
9,9,CT,Connecticut,mth,all,0.118293204,0.0529940501,0.1309144601,0.04424710354,0.07926829268,0.07620868167,0.06018667697,0.1405593267,0.239634258,0.05224681107,0.2626447372,0.04232579186,0.4000002233,0.07149233459,0.05952692283,0.3847301477,-0.3671963604,0.1054373046,-0.3481280989,0.09495270026,-0.1737190238,0.106238566,-0.154007399,0.09581559979,-0.7671965837,0.1273898705,-0.7328582465,0.1120690405,-0.5737192471,0.1280538434,-0.5387375467,0.1128010802,0.1934773367,0.01302335162,0.1941206998,0.01293602994,39178.66667,39082,38836.16667,38336.83333,36577.66667,36449.83333,235072,234492,233017,230021,219466,218699,6,6,6,6,6,6,0,0
9,9,CT,Connecticut,rla,all,0.923528963,0.05706173579,0.9076853373,0.04498886709,0.8905876608,0.08529209203,0.06022993841,0.8408983435,0.7264704087,0.06094458293,0.7100426977,0.04394226376,0.5623531566,0.0870759886,0.0640003492,0.579187052,0.06188866986,0.1025945018,0.07265235918,0.08837211921,0.02554972047,0.1034064213,0.03682615092,0.08952001794,-0.5004644867,0.1345654472,-0.5065346928,0.1091131346,-0.5368034361,0.1351854865,-0.542360901,0.1100448923,-0.03633894939,0.01293275581,-0.03582620826,0.01289460274,38891,38961.16667,38428.33333,37917,36748.5,36600.66667,233346,233767,230570,227502,220491,219604,6,6,6,6,6,6,0,0
10,10,DE,Delaware,mth,all,-0.2073168871,0.03548785688,-0.1922548443,0.03178181016,-0.3231707317,0.05367460814,0.04618629696,-0.2978231562,-0.2475602685,0.0389895993,-0.2656583674,0.0338581779,-0.1719498053,0.0565667027,0.0495210139,-0.2334935786,-1.455087348,0.08419969544,-1.370884897,0.0783976935,,,,,-1.283137542,0.101436584,-1.137391318,0.0927282544,,,,,,,,,10225.16667,10444,10568.5,10646,,,61351,62664,63411,63876,,,6,6,6,6,,,0,
10,10,DE,Delaware,rla,all,0.2364702113,0.04116701622,0.2336068253,0.03469059361,0.1905876608,0.05932142295,0.04597842051,0.1476157108,0.01352853214,0.04176019059,-0.02518892131,0.0333182092,-0.1635305966,0.05879305105,0.04823273893,-0.1979935534,-0.9230508745,0.0838073121,-0.8493085645,0.07615179439,,,,,-0.7595202779,0.1023732798,-0.6513150111,0.09014151593,,,,,,,,,10174.83333,10400.5,10536.83333,10605,,,61049,62403,63221,63630,,,6,6,6,6,,,0,
11,11,DC,District Of Columbia,mth,all,-1.118901695,0.0378871057,-1.140658057,0.03348790171,-1.058536064,0.05721955893,0.0483131735,-1.043702907,-0.8939022902,0.03798628822,-0.8739748097,0.03298900459,-0.729268516,0.04997753942,0.04493256014,-0.7042467126,-1.818843638,0.06813797462,-1.773798366,0.06492386393,,,,,-1.089575122,0.08450170432,-1.069551653,0.07895595651,,,,,,,,,5373.25,,5679.4,,5757.2,,21493,,28397,,28786,,4,,5,,5,,0,
11,11,DC,District Of Columbia,rla,all,-0.9129417868,0.04322953034,-0.9210156321,0.03636121889,-0.9129419663,0.05853824746,0.04556429847,-0.8994054694,-0.8164713242,0.03932285815,-0.8109996028,0.0318804533,-0.7200006822,0.05252068428,0.04460210663,-0.7225937361,-1.225317267,0.08768275617,-1.175339538,0.07890570952,,,,,-0.5053165851,0.1022090407,-0.452745802,0.09063916874,,,,,,,,,4993.833333,,5459,5500.666667,5681.333333,,29963,,32754,33004,34088,,6,,6,6,6,,0,
12,12,FL,Florida,mth,all,0.1384151738,0.04879271986,0.1484879829,0.04187144312,0.3048787931,0.05833616621,0.05017048977,0.2820766569,0.2786591693,0.04474936802,0.2966207052,0.03787940569,0.2524395454,0.06787426217,0.05676547768,0.3111647536,-0.2788236217,0.08913967749,-0.2789188331,0.08246569963,,,,,-0.5312631672,0.112039268,-0.5900835867,0.1001144898,,,,,,,,,203666.5,210878.25,212384.5,210433.25,199501.25,,814666,843513,849538,841733,798005,,4,4,4,4,4,,0,
12,12,FL,Florida,rla,all,0.5823528514,0.05028372659,0.5644260462,0.04087925672,0.6329413919,0.07276582162,0.05372085206,0.5842962678,0.4858822991,0.05156478639,0.4917751237,0.03897464577,0.3388232063,0.07308107817,0.05648152002,0.3992539796,0.2485522063,0.08624340147,0.2045973858,0.07830614481,,,,,-0.09027100001,0.1130432142,-0.1946565939,0.09655057959,,,,,,,,,201424.6667,208697,211055.5,212042.5,206325.6667,,1208548,1252182,1266333,1272255,1237954,,6,6,6,6,6,,0,
13,13,GA,Georgia,mth,all,-0.2249994045,0.06067296926,-0.2209997239,0.04914711482,-0.1939012481,0.08498950147,0.06503357048,-0.1972504802,-0.1914627261,0.05620095778,-0.186692336,0.04452942829,-0.1890242042,0.07355933158,0.06084500512,-0.1761341918,-0.6135465885,0.08017230901,-0.6314486663,0.07529074872,-0.4822951923,0.08039910651,-0.5000138648,0.07552943918,-0.4245223844,0.1088052131,-0.4553144746,0.09680295187,-0.2932709882,0.108972435,-0.3238796731,0.09698871496,0.1312513962,0.006034666214,0.1314348015,0.006025981995,131010,132690.8333,133555.1667,133513.8333,127797.5,127441.6667,786060,796145,801331,801083,766785,764650,6,6,6,6,6,6,0,0
13,13,GA,Georgia,rla,all,0.1270586799,0.05795983548,0.1137286794,0.04586374899,0.1564706241,0.08314950929,0.05927852523,0.1129487052,0.0411760218,0.05763007024,0.03939054043,0.04240734475,-0.07411858054,0.07981891435,0.06065960767,-0.03416762435,-0.2535550514,0.09836875931,-0.287633257,0.08536338025,-0.1960390281,0.09863628506,-0.2300131335,0.0857378044,-0.1794364708,0.1266786166,-0.2534656327,0.1047210327,-0.1219204475,0.1268864682,-0.1958455091,0.1050264686,0.05751602331,0.007259746692,0.05762012358,0.007252943652,130712.8333,132318.6667,132934.1667,132820.8333,127928.8333,127561.6667,784277,793912,797605,796925,767573,765370,6,6,6,6,6,6,0,0
15,15,HI,Hawaii,mth,all,-0.2249996837,0.04097896754,-0.2198997173,0.03622962919,-0.273170099,0.05614843974,0.04808923566,-0.2628918915,-0.2890238878,0.04081678342,-0.2836700978,0.03515472268,-0.3048776766,0.05925699916,0.05129174904,-0.304448304,-0.6071888045,0.06669059125,-0.6320473272,0.06371059889,,,,,-0.3023111279,0.08921337854,-0.3275990232,0.08179171065,,,,,,,,,14182.16667,14290.66667,13749.33333,13874,,,85093,85744,82496,83244,,,6,6,6,6,,,0,
15,15,HI,Hawaii,rla,all,-0.316471414,0.04696851596,-0.3294714356,0.03906097183,-0.2305893842,0.0668443409,0.05134638837,-0.2383176856,-0.2358829274,0.05155341141,-0.2046310041,0.03880570832,-0.2411764706,0.07850382795,0.05819862881,-0.1709443226,-0.1194092156,0.08173651734,-0.1802750344,0.07495357044,,,,,0.1217672549,0.1133300899,-0.009330711844,0.09489530082,,,,,,,,,14103.16667,14193,13612.83333,13732.83333,,,84619,85158,81677,82397,,,6,6,6,6,,,0,
16,16,ID,Idaho,mth,all,0.1024394152,0.04724822883,0.09256006194,0.04034523552,0.1597571024,0.06889207635,0.05583213639,0.1712544513,0.2384155087,0.04808150092,0.2621088671,0.03972156351,0.3170739151,0.06709101832,0.05651533399,0.3529632829,-0.1413591779,0.07207174306,-0.1563171807,0.06840970102,,,,,-0.458433093,0.0984659377,-0.5092804635,0.08873483065,,,,,,,,,22352.33333,23181.5,23537.83333,23923.66667,23789.33333,,134114,139089,141227,143542,142736,,6,6,6,6,6,,1,
16,16,ID,Idaho,rla,all,0.4282345043,0.04887360822,0.4175172346,0.04037897811,0.4752933278,0.06841001782,0.05217310472,0.4432410639,0.4241169649,0.05130659437,0.4097581682,0.0389515887,0.372940602,0.07648225914,0.05785215806,0.3762752725,-0.2005753111,0.09522315339,-0.1554772792,0.08491073869,,,,,-0.5735159131,0.1221351092,-0.5317525516,0.1027458307,,,,,,,,,22345.66667,23148.33333,23514.16667,23866.83333,23788.66667,,134074,138890,141085,143201,142732,,6,6,6,6,6,,1,
17,17,IL,Illinois,mth,all,-0.05670659135,0.05810940377,-0.05028920649,0.0480271298,-0.0512192889,0.07579922938,0.06111855161,-0.04100553332,-0.04999988835,0.05658303195,-0.0336412272,0.04502314958,-0.0487804878,0.08402996395,0.06612759365,-0.02627692107,-0.3298382855,0.09583965136,-0.3781565355,0.08791738649,-0.1834307528,0.09603174989,-0.231638968,0.08812513667,-0.2810577977,0.1274608709,-0.3518796144,0.1100105699,-0.134650265,0.1276053754,-0.205362047,0.1101766688,0.1464075327,0.006071096618,0.1465175674,0.006062314838,147009.6667,147101,145420.5,143824.5,133847.5,135440.1667,882058,882606,872523,862947,803085,812641,6,6,6,6,6,6,1,1
17,17,IL,Illinois,rla,all,0.3258814195,0.05579590866,0.3233034222,0.04462392954,0.2635282629,0.08039083037,0.05829489639,0.2570110979,0.1682345222,0.05807652179,0.1740565353,0.04255337134,0.07294078154,0.08383820088,0.0620069569,0.0911019727,-0.03572373275,0.09454426401,-0.05063704303,0.08293807128,0.4812000927,0.09478195519,0.4657038671,0.08326339807,-0.1086645143,0.1263624224,-0.1417390157,0.1035547506,0.4082593112,0.126540361,0.3746018944,0.103815491,0.5169238255,0.00670829123,0.5163409101,0.006702913757,147238.1667,146360.1667,144874.3333,144122.3333,133847.5,135439.6667,883429,878161,869246,864734,803085,812638,6,6,6,6,6,6,1,1
18,18,IN,Indiana,mth,all,0.700609998,0.05811186855,0.6977129943,0.04752868411,0.6731710667,0.08385430172,0.06454721027,0.6514985024,0.5810983239,0.05835611236,0.5725836704,0.04581154918,0.4890255812,0.08118004361,0.06502653151,0.4936688384,-0.06171290603,0.09659963299,-0.06318706506,0.0884882459,0.03152179378,0.0969422887,0.030271052,0.08885755267,-0.5507384872,0.1261811736,-0.5568559035,0.1098117456,-0.4575037874,0.1264436903,-0.4633977864,0.1101095567,0.09323469981,0.008143601455,0.09345811706,0.008122322514,76280.5,77703.16667,78414.33333,77332.66667,82047.16667,81956.83333,457683,466219,470486,463996,492283,491741,6,6,6,6,6,6,0,0
18,18,IN,Indiana,rla,all,0.7723525103,0.05173545282,0.7614184488,0.04247119795,0.8011758243,0.07170913656,0.05456080951,0.732142493,0.5558817246,0.05544222999,0.5518563804,0.04119663313,0.3105876249,0.08457637494,0.06173952049,0.3715702679,-0.08649038322,0.1037816607,-0.08004772895,0.088923425,-0.142875263,0.1041519471,-0.1361446005,0.08945491175,-0.3970780082,0.133879783,-0.4516179968,0.1082549948,-0.4534628879,0.1341670276,-0.5077148684,0.1086919943,-0.05638487976,0.008774678396,-0.05609687158,0.008762726286,76169.5,77460.33333,78063.33333,77110.83333,82089.33333,81993.5,457017,464762,468380,462665,492536,491961,6,6,6,6,6,6,0,0
19,19,IA,Iowa,mth,all,0.41890363,0.05098862842,0.4173722071,0.04290509826,0.4000009676,0.07429262115,0.05915122421,0.3701242482,0.2408541237,0.05297138466,0.2447821846,0.04268928063,0.08170727986,0.07552798695,0.06156810372,0.1194401211,-0.1081559855,0.08437268459,-0.1502737689,0.0787392547,,,,,-0.1898632653,0.113239687,-0.26971389,0.09995249685,,,,,,,,,36290.83333,36882.33333,36985.33333,37355.83333,,,217745,221294,221912,224135,,,6,6,6,6,,,0,
19,19,IA,Iowa,rla,all,0.4452938304,0.05589071166,0.4406844979,0.04444717329,0.374117683,0.08073100548,0.05778862637,0.358176119,0.236470301,0.05571315051,0.2410829748,0.0412717812,0.09882291906,0.07680055542,0.05893992158,0.1239898306,-0.1105236306,0.09150440505,-0.1419751224,0.08230398065,,,,,-0.2093465496,0.1194628874,-0.265964953,0.1012317124,,,,,,,,,36241,36840.5,36939.16667,37296.5,,,217446,221043,221635,223779,,,6,6,6,6,,,0,
20,20,KS,Kansas,mth,all,0.2378059015,0.05017062691,0.2359144306,0.04269396391,0.2695130139,0.06560941709,0.0542841958,0.2310681557,0.1481712155,0.04462219107,0.1302869132,0.0377312371,0.02682941716,0.06049763741,0.05241956789,0.02950567077,-0.5792974734,0.09207666875,-0.5687889412,0.08470106894,-0.4080892465,0.09287059988,-0.3979295797,0.08553677633,-0.6061268906,0.1101729416,-0.5982946119,0.09960964902,-0.4349186637,0.1108373243,-0.4274352505,0.10032124,0.171208227,0.0121175655,0.1708593614,0.01204672371,34941.16667,35676.83333,35767.16667,35829.83333,35205.33333,35438,209647,214061,214603,214979,211232,212628,6,6,6,6,6,6,1,1
20,20,KS,Kansas,rla,all,0.3594109928,0.06229792212,0.3644244825,0.04932740095,0.424704518,0.07698550431,0.05826817502,0.347854091,0.2176460715,0.05509281248,0.1918208006,0.04182948251,0.01058762494,0.07882958883,0.06003034405,0.03578751015,-0.4219154198,0.1097337296,-0.3802059351,0.09246534751,-0.3282360124,0.1105406728,-0.2869076174,0.09365741328,-0.4325030447,0.1351132691,-0.4159934453,0.1102428351,-0.3388236373,0.1357694532,-0.3226951275,0.1112445651,0.09367940739,0.01333225118,0.09329831775,0.01329057646,34862,35575.16667,35582.16667,35693,35205.16667,35437.83333,209172,213451,213493,214158,211231,212627,6,6,6,6,6,6,1,1
21,21,KY,Kentucky,mth,all,-0.06158475178,0.0481417774,-0.06169830513,0.04148378773,-0.1341459693,0.06273190061,0.05292664024,-0.1244309352,-0.1451217837,0.04940145775,-0.1486387546,0.04060525715,-0.1560975982,0.07633298602,0.06159479187,-0.172846574,-0.7721177242,0.08717557941,-0.7695257108,0.08098300771,-0.601459188,0.0877613306,-0.5990520298,0.08160229919,-0.616020126,0.1158719397,-0.5966791368,0.1017455941,-0.4453615898,0.1163132662,-0.4262054558,0.1022391981,0.1706585361,0.01012272205,0.170473681,0.01008165633,50258.16667,51025.66667,51107.33333,50836.83333,47767.33333,47879.5,301549,306154,306644,305021,286604,287277,6,6,6,6,6,6,1,1
21,21,KY,Kentucky,rla,all,0.4829407636,0.05214781544,0.4845646338,0.04277182914,0.3482346479,0.0695739903,0.05323845761,0.3468960843,0.2235287835,0.05158786608,0.2146209415,0.03927683588,0.09882291906,0.07618852657,0.05776111129,0.08234579872,-0.3129629694,0.09228862107,-0.2923494002,0.0811264556,-0.05187587311,0.09298241845,-0.03215217306,0.08206754787,-0.4117858884,0.1196740622,-0.3746951989,0.09958839177,-0.1506987922,0.1202099069,-0.1144979718,0.1003565065,0.2610870962,0.01133757297,0.2601972271,0.01131155715,50088.66667,50818.33333,50982,50663.5,47767.83333,47879.5,300532,304910,305892,303981,286607,287277,6,6,6,6,6,6,1,1
22,22,LA,Louisiana,mth,all,-0.9853657048,0.06167251123,-0.9448987801,0.04983685919,-1.192682406,0.08829470472,0.06717529413,-1.047530441,-1.031097412,0.06213306955,-0.9728582812,0.04792342841,-0.8695124184,0.08744208624,0.06836738856,-0.8981861212,-1.216625407,0.09991972953,-1.270564131,0.09111696762,-1.048510579,0.100370979,-1.102485352,0.09160655369,-0.3471129887,0.1327782768,-0.3723780102,0.1139140097,-0.1789981608,0.1331181876,-0.2042992309,0.114305995,0.1681148279,0.009506896073,0.1680787793,0.009473308831,53264.83333,53589.83333,53069.5,53649.83333,49035.66667,50402.33333,319589,321539,212278,321899,294214,302414,6,6,4,6,6,6,1,1
22,22,LA,Louisiana,rla,all,-0.5305891149,0.0678751911,-0.5191892192,0.05225491142,-0.6482362635,0.09658823313,0.06698791631,-0.5907890418,-0.687647741,0.06794517312,-0.6292347788,0.04785441543,-0.7270592185,0.09558713,0.06835787719,-0.6676805159,-0.6230355748,0.1049346893,-0.7220542772,0.09030073658,-0.5428263485,0.1055090692,-0.6414322557,0.0911168417,0.1040236437,0.1419443146,-0.05437376122,0.1132564453,0.1842328699,0.1423694599,0.02624826021,0.1139082008,0.08020922625,0.01099430155,0.08062202142,0.01097093762,53179.33333,53483,53077.5,53660,49035.83333,50402.5,319076,320898,212310,321960,294215,302415,6,6,4,6,6,6,1,1
23,23,ME,Maine,mth,all,0.232927648,0.04269494553,0.2445640796,0.03716950481,0.1378056596,0.06334142123,0.05259553389,0.1562651919,0.1414642334,0.04721111196,0.1322607537,0.03918359284,0.1451228072,0.0700244295,0.05809583122,0.1082563155,-0.6763661786,0.07922735101,-0.6524532055,0.07444876092,,,,,-0.8214889858,0.1057373816,-0.760709521,0.09443380542,,,,,,,,,12472,12689.66667,13081.83333,12975.66667,,,74832,76138,78491,77854,,,6,6,6,6,,,0,
23,23,ME,Maine,rla,all,0.4629408892,0.04628578149,0.4620455698,0.03775899794,0.3917645623,0.06945412178,0.05119826194,0.3818458395,0.3241175932,0.04802198104,0.3038442668,0.03690417608,0.2564706241,0.06633677427,0.05316399932,0.2258426942,-0.5077059095,0.09666300523,-0.429327857,0.08564832647,,,,,-0.7641765336,0.1172361045,-0.6551705512,0.1008069772,,,,,,,,,12441.16667,12663.66667,13037.16667,12930.5,,,74647,75982,78223,77583,,,6,6,6,6,,,0,
24,24,MD,Maryland,mth,all,0.06524379079,0.05590219762,0.05222780183,0.04618179081,0.05731684987,0.08121630654,0.0632960638,0.01587840713,-0.02256077092,0.05894944596,-0.05696492088,0.04610452744,-0.1024383917,0.08546379508,0.06705309917,-0.1298082489,-1.124181501,0.09788971561,-1.045789057,0.08952430326,,,,,-1.021743109,0.1299478999,-0.9159808083,0.1118513253,,,,,,,,,65794.25,67368.75,,67807.5,63783.5,,263177,269475,,271230,255134,,4,4,,4,4,,0,
24,24,MD,Maryland,rla,all,0.4052937227,0.06248925283,0.380067762,0.04904965385,0.4823527617,0.08718226821,0.06220141104,0.367385784,0.2617642571,0.06129733702,0.214042048,0.0446268024,0.04117575253,0.08618994263,0.06400929961,0.06069831206,-0.5043835485,0.1088069006,-0.441740344,0.09459091553,,,,,-0.545559301,0.1388079531,-0.5024386561,0.1142130979,,,,,,,,,64724,65951.16667,,66839.16667,63899.83333,,388344,395707,,401035,383399,,6,6,,6,6,,0,
25,25,MA,Massachusetts,mth,all,1.18231778,0.05770390347,1.186347026,0.04776780842,1.132927871,0.07104911899,0.05860683295,1.115554805,1.012195866,0.05447965118,1.002915546,0.04382434316,0.8914638612,0.08260842731,0.06517308759,0.8902762875,0.2072150001,0.08990581158,0.2258019296,0.08324459406,0.2792320063,0.09037191325,0.2981140284,0.08374206326,-0.6842488611,0.1220950745,-0.6644743579,0.1057222483,-0.6122318549,0.1224386988,-0.5921622592,0.1061143935,0.07201700623,0.009166665133,0.07231209874,0.009136540737,69487.66667,70266,70434.33333,70028.83333,66656.33333,66159.16667,416926,421596,422606,420173,399938,396955,6,6,6,6,6,6,0,0
25,25,MA,Massachusetts,rla,all,1.414705523,0.05392147888,1.384759189,0.04311848621,1.482352582,0.07862785278,0.05662715308,1.387354911,1.250587643,0.05471296595,1.230645851,0.04076880904,1.018822704,0.07610318876,0.05866641883,1.073936791,0.6478913493,0.09967155033,0.6289707434,0.08603413336,0.6658654332,0.100181025,0.6472420343,0.08675317056,-0.3709313543,0.1254038009,-0.4449660478,0.1041327076,-0.3529572704,0.1258091138,-0.4266947569,0.1047275575,0.01797408387,0.01009058064,0.01827129092,0.01007232855,69610.5,70256.66667,70406.66667,70028.5,66683.5,66143.5,417663,421540,422440,420171,400101,396861,6,6,6,6,6,6,0,0
26,26,MI,Michigan,mth,all,-0.3579264385,0.06082310098,-0.3463703567,0.04926134432,-0.3524383917,0.08777133396,0.06681118173,-0.3378372375,-0.3158527467,0.0617339721,-0.3145608996,0.04769748325,-0.2792671018,0.08683620316,0.06809159736,-0.2912845618,-0.7796292676,0.1043151354,-0.7970788454,0.09440203889,-0.7111699596,0.1045906023,-0.7280293519,0.09470378446,-0.5003621659,0.1357283082,-0.5057942836,0.1163967808,-0.4319028578,0.1359401349,-0.4367447901,0.116641641,0.06845930806,0.007585949403,0.06904949351,0.007568829288,110899.3333,110156.5,108999.8333,107627.3333,98267.33333,98789.83333,665396,660939,653999,645764,589604,592739,6,6,6,6,6,6,0,0
26,26,MI,Michigan,rla,all,-0.06117733226,0.06324057477,-0.06709687171,0.04908445427,-0.009412698185,0.09036289748,0.06275308428,-0.04398630529,-0.03176556756,0.06086353712,-0.05397809184,0.04437336911,-0.05411843693,0.08155996177,0.06275375652,-0.06396987839,-0.5717634692,0.125066639,-0.5138119155,0.1012932604,-0.5631980042,0.1253207174,-0.5052189934,0.1017009503,-0.5176450322,0.1493107215,-0.4498420371,0.1191568653,-0.5090795673,0.1495236087,-0.441249115,0.1195036286,0.008565464946,0.007976090615,0.008592922038,0.007967242711,110793.8333,109786,108748,107403,98160,98544.83333,664763,658716,652488,644418,588960,591269,6,6,6,6,6,6,0,0
27,27,MN,Minnesota,mth,all,1.03170795,0.0625173089,1.017710169,0.049525085,1.009756321,0.09446820586,0.06886396527,0.9727885457,0.9329271084,0.06062245379,0.9037118096,0.0465499676,0.8560978959,0.07600056378,0.06265263139,0.8346350734,-0.07868771395,0.09998768052,-0.01821978294,0.0910196025,,,,,-0.9347856099,0.1255930808,-0.8528548564,0.110498508,,,,,,,,,63997,64872.83333,65563.66667,65466,61027,,383982,389237,393382,392796,366162,,6,6,6,6,6,,0,
27,27,MN,Minnesota,rla,all,0.5329404046,0.0604186649,0.5206074623,0.04741319538,0.5294112262,0.08528730026,0.06021099437,0.4742261488,0.396469924,0.05733498919,0.3644306817,0.04233116187,0.2635286219,0.07665037739,0.05951760426,0.2546352146,-0.339599806,0.1032450896,-0.285699062,0.0905609961,,,,,-0.6031284279,0.1285878255,-0.5403342765,0.1083680729,,,,,,,,,64059.66667,64883.5,65677,65585,61298.5,,384358,389301,394062,393510,367791,,6,6,6,6,6,,0,
28,28,MS,Mississippi,mth,all,-0.6420730033,0.04662198506,-0.6639548551,0.04026312896,-0.6341461554,0.06243676137,0.05223304414,-0.5861260972,-0.4067067402,0.04364959404,-0.3633994237,0.0370768487,-0.1792673251,0.06101474468,0.05263534874,-0.1406727502,-0.8727606969,0.082857848,-0.8706916295,0.07735986275,-0.3386184813,0.0835408183,-0.3386961734,0.07807233401,-0.6934933718,0.1028990867,-0.7300188793,0.09356830821,-0.1593511562,0.1034498303,-0.1980234232,0.09415821406,0.5341422156,0.01066045722,0.5319954561,0.01061196442,36983.66667,37176.5,37279.83333,37007.66667,33100.33333,31944,221902,223059,223679,222046,198602,191664,6,6,6,6,6,6,0,0
28,28,MS,Mississippi,rla,all,-0.4841182036,0.04887743359,-0.4975902347,0.0400610986,-0.3882356531,0.07074110948,0.05293970744,-0.3847525889,-0.2570595236,0.05176544114,-0.2558356308,0.03913587344,-0.1258833941,0.07559324715,0.05765287274,-0.1269186727,-0.3677641243,0.09465056593,-0.3438404507,0.08267384684,0.0639519249,0.09545212102,0.08608459569,0.08377447569,-0.2418807302,0.1211324426,-0.2169217779,0.1007909653,0.189835319,0.1217597898,0.2130032684,0.1016957055,0.4317160492,0.01234413934,0.4299250464,0.01231062796,36978.16667,37178.5,37292.33333,37039.66667,33143,31970.83333,221869,223071,223754,222238,198858,191825,6,6,6,6,6,6,0,0
29,29,MO,Missouri,mth,all,-0.01463355088,0.05342316106,-0.0201806575,0.04435256252,-0.007316403273,0.07859905239,0.06132995098,-0.02033508856,-0.02987754636,0.05365358194,-0.03689983326,0.04306230835,-0.05243868944,0.07305488612,0.0604655829,-0.05346457795,-0.7212624591,0.1011141549,-0.7045294614,0.09179015664,,,,,-0.6688237696,0.1247440929,-0.6510648835,0.1099159659,,,,,,,,,68039.6,68756.6,69210.2,69119.2,65125.8,,340198,343783,346051,345596,325629,,5,5,5,5,5,,0,
29,29,MO,Missouri,rla,all,0.3988227395,0.05600800058,0.383847342,0.04474683983,0.3811756807,0.08056968343,0.05832321388,0.3220915304,0.1976462869,0.05779003941,0.1756784342,0.04261259707,0.0141168931,0.08286905774,0.06214287118,0.0292653381,-0.4440635823,0.1119526979,-0.4100558871,0.09645490633,,,,,-0.4581804754,0.13928635,-0.4393212252,0.1147400775,,,,,,,,,67835.33333,68403.66667,68741.16667,68725.33333,65685,,407012,410422,412447,412352,394110,,6,6,6,6,6,,0,
30,30,MT,Montana,mth,all,0.3054884934,0.03831020375,0.3131061607,0.03405200689,0.2524395454,0.05611465655,0.04793262322,0.2645842508,0.2280490224,0.04161758397,0.2363314496,0.03562837705,0.2036584994,0.0614755114,0.05272559755,0.2080786483,-0.1670790836,0.07175428606,-0.1891983698,0.06809101207,,,,,-0.370737583,0.09448765036,-0.3972770181,0.08611837528,,,,,,,,,10904.5,11233,11352,11399.16667,,,65427,67398,68112,68395,,,6,6,6,6,,,0,
30,30,MT,Montana,rla,all,0.5152933457,0.04087033304,0.5215580999,0.03442288785,0.4129399917,0.06024460035,0.04668507126,0.4257408244,0.3429402071,0.04409827058,0.3514438891,0.03471011883,0.2729404225,0.06441442387,0.05137775316,0.2771469539,-0.01290792974,0.09007074469,-0.03895689098,0.08087843005,,,,,-0.2858483522,0.1107337214,-0.3161038448,0.09581750345,,,,,,,,,11075.33333,10909,11330.66667,11413.33333,,,66452,32727,67984,68480,,,6,3,6,6,,,0,
31,31,NE,Nebraska,mth,all,0.5414638984,0.0444653111,0.5204547908,0.03824470766,0.6231717366,0.06575297079,0.05358442756,0.5743700243,0.5182938925,0.04244261551,0.5094590762,0.03588702852,0.4134160484,0.0536847211,0.04775169513,0.4445481282,0.09463523168,0.07891252563,0.06822033217,0.07407122563,,,,,-0.3187808167,0.09544231756,-0.376327796,0.08812928488,,,,,,,,,22973,23332.66667,23589.33333,23675.66667,23515.83333,,137838,139996,141536,142054,141095,,6,6,6,6,6,,1,
